l,"fcm,p","fcm,j",b,h0,fy*As,fyt*Ast,Type of rebar,Interface type,Concrete type of joint,Mu
300,92.492,92.492,1600,135,2312.714848,846.0686007,U-bar,Dovetail-shaped,UHPC,389.4
300,92.492,92.492,1600,135,2312.714848,846.0686007,U-bar,Dovetail-shaped,UHPC,392.15
300,92.492,92.492,1600,135,2312.714848,846.0686007,U-bar,Dovetail-shaped,UHPC,393.8
120,32.16,108.832,300,130,180.9557368,47.1238898,Straight bar,Straight,UHPC,25.11
120,32.16,108.832,300,130,180.9557368,47.1238898,Straight bar,Straight,UHPC,25.875
120,32.16,108.832,300,130,180.9557368,47.1238898,Straight bar,Straight,UHPC,26.775
120,32.16,108.832,300,130,180.9557368,47.1238898,Straight bar,Straight,UHPC,28.8
120,32.16,108.832,300,130,271.4336053,47.1238898,Straight bar,Straight,UHPC,31.32
120,32.16,108.832,300,130,271.4336053,47.1238898,Straight bar,Straight,UHPC,32.94
120,32.16,108.832,300,130,180.9557368,47.1238898,Straight bar,Notched-shaped,UHPC,27.6975
120,32.16,108.832,300,130,180.9557368,47.1238898,Straight bar,Notched-shaped,UHPC,29.3625
120,32.16,108.832,300,130,180.9557368,47.1238898,Straight bar,Diamond-shaped,UHPC,25.3125
120,32.16,108.832,300,130,180.9557368,47.1238898,Straight bar,Diamond-shaped,UHPC,27.0675
440,44,49.68,800,221,903.2078879,1541.818276,U-bar,Straight,NSC,222.84
440,44,49.68,800,221,903.2078879,1541.818276,U-bar,Straight,NSC,214.56
440,44,49.68,800,221,903.2078879,1541.818276,U-bar,Straight,NSC,207.9
440,44,49.68,800,221,903.2078879,1541.818276,U-bar,T-shaped,NSC,212.82
250,27.68,89.68,300,368,123.150432,0,Straight bar,Straight,UHPC,49
250,27.68,89.68,300,368,184.725648,0,Straight bar,Straight,UHPC,69
250,27.68,89.68,300,368,184.725648,0,Straight bar,Straight,UHPC,69
250,27.68,89.68,300,368,184.725648,0,Straight bar,Straight,UHPC,73.5
250,27.68,89.68,300,368,246.300864,0,Straight bar,Straight,UHPC,88
250,27.68,89.68,300,368,246.300864,0,Straight bar,Straight,UHPC,92
250,27.68,89.68,300,368,246.300864,0,Straight bar,Straight,UHPC,96
120,106.02,106.02,150,270,163.7423224,0,Straight bar,Straight,UHPC,43.5
120,106.02,106.02,150,270,163.7423224,0,Straight bar,Diamond-shaped,UHPC,55.5
120,106.02,106.02,150,270,163.7423224,0,Straight bar,T-shaped,UHPC,58
120,106.02,106.02,150,270,163.7423224,0,Straight bar,T-shaped,UHPC,56.5
120,106.02,106.02,150,270,163.7423224,0,Straight bar,T-shaped,UHPC,59.3
150,92.492,92.492,800,135,1300.902102,211.5171502,U-bar,Dovetail-shaped,UHPC,194.375
150,92.492,92.492,800,135,1300.902102,211.5171502,U-bar,Dovetail-shaped,UHPC,181.25
150,92.492,92.492,800,135,1300.902102,211.5171502,U-bar,Dovetail-shaped,UHPC,183.125
150,107.54,107.54,800,135,1300.902102,211.5171502,U-bar,Dovetail-shaped,UHPC,201.25
150,92.492,92.492,800,135,1300.902102,211.5171502,Straight bar,Dovetail-shaped,UHPC,133.125
200,34.26005,57.598802,300,150,166.8513925,0,Headed bar,Diamond-shaped,HSC,16.82020997
200,34.26005,57.598802,300,150,166.8513925,0,Headed bar,Diamond-shaped,HSC,17.30691197
200,34.26005,57.598802,300,150,166.8513925,0,Headed bar,Diamond-shaped,HSC,15.90478854
200,34.26005,57.598802,300,150,166.8513925,0,Headed bar,Diamond-shaped,HSC,16.09325962
200,34.26005,57.598802,300,150,166.8513925,0,Headed bar,Diamond-shaped,HSC,16.09325962
200,34.26005,57.598802,300,150,166.8513925,0,Headed bar,Diamond-shaped,HSC,17.504235
762,43.6,40.4,914,157,560.9627842,592.5169408,Straight bar,Diamond-shaped,NSC,106.306
762,43.4,37.8,914,157,560.9627842,592.5169408,Straight bar,Diamond-shaped,NSC,108.03925
100,48,48,1000,180,879.645943,804.2477193,Straight bar,Straight,NSC,94.01
500,48,48,1000,180,879.645943,804.2477193,Straight bar,Straight,NSC,154.84
300,48,48,1000,180,879.645943,804.2477193,U-bar,Straight,NSC,182.49
350,48,48,1000,180,879.645943,804.2477193,U-bar,Straight,NSC,199.08
400,48,48,1000,180,879.645943,804.2477193,U-bar,Straight,NSC,199.08
450,48,48,1000,180,879.645943,804.2477193,U-bar,Straight,NSC,204.61
500,48,48,1000,180,879.645943,804.2477193,U-bar,Straight,NSC,210.14
100,48,48,1000,180,879.645943,804.2477193,Straight bar,Straight,NSC,77.42
500,48,48,1000,180,879.645943,804.2477193,Straight bar,Straight,NSC,160.37
300,48,48,1000,180,879.645943,804.2477193,U-bar,Straight,NSC,182.49
350,48,48,1000,180,879.645943,804.2477193,U-bar,Straight,NSC,188.02
400,48,48,1000,180,879.645943,804.2477193,U-bar,Straight,NSC,199.08
450,48,48,1000,180,879.645943,804.2477193,U-bar,Straight,NSC,199.08
500,48,48,1000,180,879.645943,804.2477193,U-bar,Straight,NSC,204.61
150,126.16,114.1064,550,94,226.1946711,135.7168026,Straight bar,Diamond-shaped,UHPC,38.48
140,126.16,114.1064,550,94,226.1946711,271.4336053,Straight bar,T-shaped,UHPC,58.76
140,126.16,114.1064,550,94,226.1946711,271.4336053,Straight bar,T-shaped,UHPC,58.518
150,126.16,114.1064,550,94,226.1946711,135.7168026,Straight bar,Diamond-shaped,UHPC,46.06
150,126.16,114.1064,550,94,226.1946711,135.7168026,Straight bar,Diamond-shaped,UHPC,37.38
150,126.16,114.1064,550,94,226.1946711,135.7168026,Straight bar,Diamond-shaped,UHPC,39.32
150,126.16,114.1064,550,92,402.1238597,241.2743158,Straight bar,Diamond-shaped,UHPC,57.4
150,126.16,114.1064,550,92,402.1238597,241.2743158,Straight bar,Diamond-shaped,UHPC,57.4
140,126.16,114.1064,550,92,402.1238597,482.5486316,Straight bar,T-shaped,UHPC,78
140,126.16,114.1064,550,92,402.1238597,482.5486316,Straight bar,T-shaped,UHPC,87.6
150,126.16,114.1064,550,94,226.1946711,135.7168026,Straight bar,Diamond-shaped,UHPC,39.06
140,126.16,114.1064,550,94,226.1946711,271.4336053,Straight bar,T-shaped,UHPC,58.42
240,66.8,91.2,1300,165,872.7344392,313.0157256,U-bar,Straight,HSC,176
240,66.8,91.2,1300,165,581.8229594,313.0157256,U-bar,Straight,HSC,130
240,66.8,91.2,1300,165,436.3672196,313.0157256,U-bar,Straight,HSC,94.25
300,66.8,66.8,1300,166,950.6962025,549.1503958,U-bar,Straight,HSC,166.0125
100,66.8,91.2,1300,165,872.7344392,308.8970977,U-bar,Straight,HSC,143.75
150,66.8,91.2,1300,165,872.7344392,308.8970977,U-bar,Straight,HSC,171
200,66.8,91.2,1300,165,872.7344392,308.8970977,U-bar,Straight,HSC,170.5
240,66.8,91.2,1300,165,872.7344392,308.8970977,U-bar,Straight,HSC,162.25
200,66.8,66.8,1300,165,872.7344392,308.8970977,U-bar,Straight,HSC,164.5
200,66.8,83.2,1300,165,872.7344392,308.8970977,U-bar,Straight,HSC,187.25
240,66.8,66.8,1300,165,872.7344392,308.8970977,U-bar,Straight,HSC,158.25
240,66.8,83.2,1300,165,872.7344392,308.8970977,U-bar,Straight,HSC,176.5
140,43.1,174,711,119.05,328.015354,0,Straight bar,Diamond-shaped,UHPC,49.392
140,42.4,163,711,119.05,328.015354,0,Straight bar,Diamond-shaped,UHPC,48.706
140,43.6,148,711,119.05,328.015354,0,Straight bar,Diamond-shaped,UHPC,50.764
140,42.9,189,711,119.05,328.015354,0,Straight bar,Diamond-shaped,UHPC,49.049
140,42.2,148,711,119.05,328.015354,0,Straight bar,Diamond-shaped,UHPC,49.392
220,53,136,450,170,241.2743158,125.6637061,U-bar,Diamond-shaped,HSC,54.15
220,53,136,450,170,340.2344844,125.6637061,U-bar,Diamond-shaped,HSC,53.9125
270,53,136,450,170,241.2743158,125.6637061,U-bar,Diamond-shaped,HSC,55.125
270,53,136,450,170,340.2344844,125.6637061,U-bar,Diamond-shaped,HSC,77.85
